Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700642400000,0.8543,0.4607,0.5393,1.5620,0.6097,0.3903,0.8396,0.4564,0.5436,0.7039,133080.0000,189054.0000
1700642700000,0.8539,0.4606,0.5394,1.5639,0.6100,0.3900,0.8409,0.4568,0.5432,0.7039,133080.0000,189054.0000
1700643000000,0.8567,0.4614,0.5386,1.5674,0.6105,0.3895,0.8477,0.4588,0.5412,0.7039,133080.0000,189054.0000
1700643300000,0.8471,0.4586,0.5414,1.5618,0.6096,0.3904,0.8420,0.4571,0.5429,0.7039,133080.0000,189054.0000
1700643600000,0.8519,0.4600,0.5400,1.5599,0.6094,0.3906,0.8515,0.4599,0.5401,0.7039,133080.0000,189054.0000
1700643900000,0.8556,0.4611,0.5389,1.5589,0.6092,0.3908,0.8536,0.4605,0.5395,0.7039,133080.0000,189054.0000
1700644200000,0.8549,0.4609,0.5391,1.5574,0.6090,0.3910,0.8539,0.4606,0.5394,0.7039,133080.0000,189054.0000
1700644500000,0.8471,0.4586,0.5414,1.5612,0.6096,0.3904,0.8501,0.4595,0.5405,0.7039,133080.0000,189054.0000
1700644800000,0.8426,0.4573,0.5427,1.5583,0.6091,0.3909,0.8615,0.4628,0.5372,0.7039,133080.0000,189054.0000
1700645100000,0.8615,0.4628,0.5372,1.5575,0.6090,0.3910,0.8765,0.4671,0.5329,0.7039,133080.0000,189054.0000
1700645400000,0.8574,0.4616,0.5384,1.5538,0.6084,0.3916,0.8741,0.4664,0.5336,0.7039,133080.0000,189054.0000
1700645700000,0.8543,0.4607,0.5393,1.5503,0.6079,0.3921,0.8608,0.4626,0.5374,0.7039,133080.0000,189054.0000
1700646000000,0.8262,0.4524,0.5476,1.5505,0.6079,0.3921,0.8369,0.4556,0.5444,0.7039,133080.0000,189054.0000
1700646300000,0.8248,0.4520,0.5480,1.5498,0.6078,0.3922,0.8362,0.4554,0.5446,0.7039,133080.0000,189054.0000
1700646600000,0.8225,0.4513,0.5487,1.5471,0.6074,0.3926,0.8345,0.4549,0.5451,0.7039,133080.0000,189054.0000
1700646900000,0.8372,0.4557,0.5443,1.5505,0.6079,0.3921,0.8522,0.4601,0.5399,0.7039,133080.0000,189054.0000
1700647200000,0.8322,0.4542,0.5458,1.5452,0.6071,0.3929,0.8450,0.4580,0.5420,0.7039,133080.0000,189054.0000
1700647500000,0.8312,0.4539,0.5461,1.5399,0.6063,0.3937,0.8460,0.4583,0.5417,0.7039,133080.0000,189054.0000
1700647800000,0.8298,0.4535,0.5465,1.5361,0.6057,0.3943,0.8505,0.4596,0.5404,0.7039,133080.0000,189054.0000
1700648100000,0.8215,0.4510,0.5490,1.5390,0.6061,0.3939,0.8369,0.4556,0.5444,0.7039,133080.0000,189054.0000
1700648400000,0.8325,0.4543,0.5457,1.5400,0.6063,0.3937,0.8382,0.4560,0.5440,0.7039,133080.0000,189054.0000
1700648700000,0.8292,0.4533,0.5467,1.5433,0.6068,0.3932,0.8332,0.4545,0.5455,0.7039,133080.0000,189054.0000
1700649000000,0.8218,0.4511,0.5489,1.5443,0.6070,0.3930,0.8248,0.4520,0.5480,0.7039,133080.0000,189054.0000
1700649300000,0.8116,0.4480,0.5520,1.5477,0.6075,0.3925,0.8179,0.4499,0.5501,0.7039,133080.0000,189054.0000
1700649600000,0.8077,0.4468,0.5532,1.5465,0.6073,0.3927,0.8123,0.4482,0.5518,0.7039,133080.0000,189054.0000
1700649900000,0.8038,0.4456,0.5544,1.5422,0.6066,0.3934,0.8093,0.4473,0.5527,0.7039,133080.0000,189054.0000
1700650200000,0.8018,0.4450,0.5550,1.5439,0.6069,0.3931,0.8100,0.4475,0.5525,0.7039,133080.0000,189054.0000
1700650500000,0.8132,0.4485,0.5515,1.5454,0.6071,0.3929,0.8132,0.4485,0.5515,0.7039,133080.0000,189054.0000
1700650800000,0.8146,0.4489,0.5511,1.5465,0.6073,0.3927,0.8139,0.4487,0.5513,0.7039,133080.0000,189054.0000
1700651100000,0.8162,0.4494,0.5506,1.5467,0.6073,0.3927,0.8152,0.4491,0.5509,0.7039,133080.0000,189054.0000
1700651400000,0.8119,0.4481,0.5519,1.5487,0.6076,0.3924,0.8123,0.4482,0.5518,0.7039,133080.0000,189054.0000
1700651700000,0.8041,0.4457,0.5543,1.5500,0.6078,0.3922,0.8060,0.4463,0.5537,0.7039,133080.0000,189054.0000
1700652000000,0.8090,0.4472,0.5528,1.5477,0.6075,0.3925,0.8116,0.4480,0.5520,0.7039,133080.0000,189054.0000
1700652300000,0.8100,0.4475,0.5525,1.5508,0.6080,0.3920,0.8126,0.4483,0.5517,0.7039,133080.0000,189054.0000
1700652600000,0.8067,0.4465,0.5535,1.5504,0.6079,0.3921,0.8106,0.4477,0.5523,0.7039,133080.0000,189054.0000
1700652900000,0.8080,0.4469,0.5531,1.5531,0.6083,0.3917,0.8090,0.4472,0.5528,0.7039,133080.0000,189054.0000
1700653200000,0.8044,0.4458,0.5542,1.5535,0.6084,0.3916,0.8060,0.4463,0.5537,0.7039,133080.0000,189054.0000
1700653500000,0.7979,0.4438,0.5562,1.5545,0.6085,0.3915,0.7969,0.4435,0.5565,0.7039,133080.0000,189054.0000
1700653800000,0.7995,0.4443,0.5557,1.5565,0.6088,0.3912,0.7979,0.4438,0.5562,0.7039,133080.0000,189054.0000
1700654100000,0.8054,0.4461,0.5539,1.5570,0.6089,0.3911,0.8051,0.4460,0.5540,0.7039,133080.0000,189054.0000
1700654400000,0.8005,0.4446,0.5554,1.5589,0.6092,0.3908,0.8034,0.4455,0.5545,0.7039,133080.0000,189054.0000
1700654700000,0.7944,0.4427,0.5573,1.5574,0.6090,0.3910,0.7966,0.4434,0.5566,0.7039,133080.0000,189054.0000
1700655000000,0.7912,0.4417,0.5583,1.5526,0.6082,0.3918,0.7912,0.4417,0.5583,0.7039,133080.0000,189054.0000
1700655300000,0.7889,0.4410,0.5590,1.5499,0.6078,0.3922,0.7902,0.4414,0.5586,0.7039,133080.0000,189054.0000
1700655600000,0.7848,0.4397,0.5603,1.5458,0.6072,0.3928,0.7854,0.4399,0.5601,0.7039,133080.0000,189054.0000
1700655900000,0.7778,0.4375,0.5625,1.5481,0.6075,0.3925,0.7790,0.4379,0.5621,0.7039,133080.0000,189054.0000
1700656200000,0.7931,0.4423,0.5577,1.5441,0.6069,0.3931,0.7860,0.4401,0.5599,0.7039,133080.0000,189054.0000
1700656500000,0.7806,0.4384,0.5616,1.5416,0.6065,0.3935,0.7749,0.4366,0.5634,0.7039,133080.0000,189054.0000
1700656800000,0.7550,0.4302,0.5698,1.5452,0.6071,0.3929,0.7596,0.4317,0.5683,0.7039,133080.0000,189054.0000
1700657100000,0.7452,0.4270,0.5730,1.5361,0.6057,0.3943,0.7544,0.4300,0.5700,0.7039,133080.0000,189054.0000
1700657400000,0.7409,0.4256,0.5744,1.5320,0.6051,0.3949,0.7434,0.4264,0.5736,0.7039,133080.0000,189054.0000
1700657700000,0.7385,0.4248,0.5752,1.5321,0.6051,0.3949,0.7409,0.4256,0.5744,0.7039,133080.0000,189054.0000
1700658000000,0.7409,0.4256,0.5744,1.5360,0.6057,0.3943,0.7385,0.4248,0.5752,0.7039,133080.0000,189054.0000
1700658300000,0.7397,0.4252,0.5748,1.5353,0.6056,0.3944,0.7422,0.4260,0.5740,0.7039,133080.0000,189054.0000
1700658600000,0.7519,0.4292,0.5708,1.5400,0.6063,0.3937,0.7346,0.4235,0.5765,0.7039,133080.0000,189054.0000
1700658900000,0.7455,0.4271,0.5729,1.5435,0.6068,0.3932,0.7271,0.4210,0.5790,0.7039,133080.0000,189054.0000
1700659200000,0.7449,0.4269,0.5731,1.5395,0.6062,0.3938,0.7304,0.4221,0.5779,0.7039,133080.0000,189054.0000
1700659500000,0.7413,0.4257,0.5743,1.5406,0.6064,0.3936,0.7235,0.4198,0.5802,0.7039,133080.0000,189054.0000
1700659800000,0.7388,0.4249,0.5751,1.5387,0.6061,0.3939,0.7182,0.4180,0.5820,0.7039,133080.0000,189054.0000
1700660100000,0.7461,0.4273,0.5727,1.5307,0.6049,0.3951,0.7100,0.4152,0.5848,0.7039,133080.0000,189054.0000
1700660400000,0.7409,0.4256,0.5744,1.5338,0.6053,0.3947,0.7197,0.4185,0.5815,0.7039,133080.0000,189054.0000
1700660700000,0.7373,0.4244,0.5756,1.5337,0.6053,0.3947,0.7173,0.4177,0.5823,0.7039,133080.0000,189054.0000
1700661000000,0.7355,0.4238,0.5762,1.5335,0.6053,0.3947,0.7164,0.4174,0.5826,0.7039,133080.0000,189054.0000
1700661300000,0.7328,0.4229,0.5771,1.5345,0.6054,0.3946,0.7129,0.4162,0.5838,0.7039,133080.0000,189054.0000
1700661600000,0.7235,0.4198,0.5802,1.5305,0.6048,0.3952,0.7082,0.4146,0.5854,0.7039,133080.0000,189054.0000
1700661900000,0.7265,0.4208,0.5792,1.5288,0.6046,0.3954,0.7062,0.4139,0.5861,0.7039,133080.0000,189054.0000
1700662200000,0.7227,0.4195,0.5805,1.5275,0.6044,0.3956,0.7039,0.4131,0.5869,0.7039,133080.0000,189054.0000
1700662500000,0.7250,0.4203,0.5797,1.5250,0.6040,0.3960,0.7039,0.4131,0.5869,0.7039,133080.0000,189054.0000
1700662800000,0.7229,0.4196,0.5804,1.5298,0.6047,0.3953,0.7044,0.4133,0.5867,0.7039,133080.0000,189054.0000
1700663100000,0.7224,0.4194,0.5806,1.5260,0.6041,0.3959,0.7068,0.4141,0.5859,0.7039,133080.0000,189054.0000
1700663400000,0.7182,0.4180,0.5820,1.5206,0.6033,0.3967,0.6998,0.4117,0.5883,0.7039,133080.0000,189054.0000
1700663700000,0.7232,0.4197,0.5803,1.5178,0.6028,0.3972,0.7007,0.4120,0.5880,0.7039,133080.0000,189054.0000
1700664000000,0.7256,0.4205,0.5795,1.5248,0.6039,0.3961,0.6923,0.4091,0.5909,0.7039,133080.0000,189054.0000
1700664300000,0.7307,0.4222,0.5778,1.5239,0.6038,0.3962,0.6969,0.4107,0.5893,0.7039,133080.0000,189054.0000
1700664600000,0.7247,0.4202,0.5798,1.5295,0.6047,0.3953,0.6855,0.4067,0.5933,0.7039,133080.0000,189054.0000
1700664900000,0.7298,0.4219,0.5781,1.5344,0.6054,0.3946,0.6815,0.4053,0.5947,0.7039,133080.0000,189054.0000
1700665200000,0.7039,0.4131,0.5869,1.5310,0.6049,0.3951,0.6361,0.3888,0.6112,0.7039,133080.0000,189054.0000
1700665500000,0.6969,0.4107,0.5893,1.5306,0.6048,0.3952,0.6335,0.3878,0.6122,0.7039,133080.0000,189054.0000
1700665800000,0.7015,0.4123,0.5877,1.5322,0.6051,0.3949,0.6359,0.3887,0.6113,0.7039,133080.0000,189054.0000
1700666100000,0.6998,0.4117,0.5883,1.5313,0.6050,0.3950,0.6372,0.3892,0.6108,0.7039,133080.0000,189054.0000
1700666400000,0.6929,0.4093,0.5907,1.5293,0.6046,0.3954,0.6423,0.3911,0.6089,0.7039,133080.0000,189054.0000
1700666700000,0.6972,0.4108,0.5892,1.5322,0.6051,0.3949,0.6523,0.3948,0.6052,0.7039,133080.0000,189054.0000
