Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700642100000,2.5499,0.7183,0.2817,1.2119,0.5479,0.4521,2.6955,0.7294,0.2706,1.4657,1406354.0000,959504.0000
1700642400000,2.5411,0.7176,0.2824,1.2111,0.5477,0.4523,2.6819,0.7284,0.2716,1.4657,1406354.0000,959504.0000
1700642700000,2.5398,0.7175,0.2825,1.2112,0.5478,0.4522,2.6819,0.7284,0.2716,1.4657,1406354.0000,959504.0000
1700643000000,2.5524,0.7185,0.2815,1.2122,0.5480,0.4520,2.7010,0.7298,0.2702,1.4657,1406354.0000,959504.0000
1700643300000,2.5461,0.7180,0.2820,1.2117,0.5479,0.4521,2.6846,0.7286,0.2714,1.4657,1406354.0000,959504.0000
1700643600000,2.5638,0.7194,0.2806,1.2126,0.5480,0.4520,2.6941,0.7293,0.2707,1.4657,1406354.0000,959504.0000
1700643900000,2.5753,0.7203,0.2797,1.2130,0.5481,0.4519,2.7106,0.7305,0.2695,1.4657,1406354.0000,959504.0000
1700644200000,2.5689,0.7198,0.2802,1.2129,0.5481,0.4519,2.7092,0.7304,0.2696,1.4657,1406354.0000,959504.0000
1700644500000,2.5625,0.7193,0.2807,1.2119,0.5479,0.4521,2.7037,0.7300,0.2700,1.4657,1406354.0000,959504.0000
1700644800000,2.5537,0.7186,0.2814,1.2129,0.5481,0.4519,2.6955,0.7294,0.2706,1.4657,1406354.0000,959504.0000
1700645100000,2.5778,0.7205,0.2795,1.2135,0.5482,0.4518,2.7064,0.7302,0.2698,1.4657,1406354.0000,959504.0000
1700645400000,2.6590,0.7267,0.2733,1.2104,0.5476,0.4524,2.7779,0.7353,0.2647,1.4657,1406354.0000,959504.0000
1700645700000,2.6576,0.7266,0.2734,1.2101,0.5475,0.4525,2.7764,0.7352,0.2648,1.4657,1406354.0000,959504.0000
1700646000000,2.6941,0.7293,0.2707,1.2095,0.5474,0.4526,2.8037,0.7371,0.2629,1.4657,1406354.0000,959504.0000
1700646300000,2.7133,0.7307,0.2693,1.2096,0.5474,0.4526,2.8241,0.7385,0.2615,1.4657,1406354.0000,959504.0000
1700646600000,2.7161,0.7309,0.2691,1.2111,0.5477,0.4523,2.8183,0.7381,0.2619,1.4657,1406354.0000,959504.0000
1700646900000,2.7147,0.7308,0.2692,1.2115,0.5478,0.4522,2.8344,0.7392,0.2608,1.4657,1406354.0000,959504.0000
1700647200000,2.7355,0.7323,0.2677,1.2113,0.5478,0.4522,2.8491,0.7402,0.2598,1.4657,1406354.0000,959504.0000
1700647500000,2.7566,0.7338,0.2662,1.2111,0.5477,0.4523,2.8625,0.7411,0.2589,1.4657,1406354.0000,959504.0000
1700647800000,2.7509,0.7334,0.2666,1.2107,0.5477,0.4523,2.8565,0.7407,0.2593,1.4657,1406354.0000,959504.0000
1700648100000,2.7509,0.7334,0.2666,1.2107,0.5477,0.4523,2.8417,0.7397,0.2603,1.4657,1406354.0000,959504.0000
1700648400000,2.7552,0.7337,0.2663,1.2106,0.5476,0.4524,2.8417,0.7397,0.2603,1.4657,1406354.0000,959504.0000
1700648700000,2.7722,0.7349,0.2651,1.2107,0.5477,0.4523,2.8610,0.7410,0.2590,1.4657,1406354.0000,959504.0000
1700649000000,2.7779,0.7353,0.2647,1.2106,0.5476,0.4524,2.8610,0.7410,0.2590,1.4657,1406354.0000,959504.0000
1700649300000,2.7893,0.7361,0.2639,1.2103,0.5476,0.4524,2.8700,0.7416,0.2584,1.4657,1406354.0000,959504.0000
1700649600000,2.8095,0.7375,0.2625,1.2092,0.5473,0.4527,2.9032,0.7438,0.2562,1.4657,1406354.0000,959504.0000
1700649900000,2.7807,0.7355,0.2645,1.2101,0.5475,0.4525,2.8610,0.7410,0.2590,1.4657,1406354.0000,959504.0000
1700650200000,2.7965,0.7366,0.2634,1.2097,0.5475,0.4525,2.8745,0.7419,0.2581,1.4657,1406354.0000,959504.0000
1700650500000,2.7836,0.7357,0.2643,1.2072,0.5469,0.4531,2.8640,0.7412,0.2588,1.4657,1406354.0000,959504.0000
1700650800000,2.7936,0.7364,0.2636,1.2072,0.5469,0.4531,2.8760,0.7420,0.2580,1.4657,1406354.0000,959504.0000
1700651100000,2.8124,0.7377,0.2623,1.2079,0.5471,0.4529,2.9154,0.7446,0.2554,1.4657,1406354.0000,959504.0000
1700651400000,2.8329,0.7391,0.2609,1.2075,0.5470,0.4530,2.9510,0.7469,0.2531,1.4657,1406354.0000,959504.0000
1700651700000,2.8197,0.7382,0.2618,1.2067,0.5468,0.4532,2.9355,0.7459,0.2541,1.4657,1406354.0000,959504.0000
1700652000000,2.8183,0.7381,0.2619,1.2046,0.5464,0.4536,2.9510,0.7469,0.2531,1.4657,1406354.0000,959504.0000
